"","Year","datatopic","peryear_indicators"
"992",1978,"Economic Policy & Debt: National accounts: Growth rates",16
"993",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"994",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"995",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"996",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"997",1978,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"998",1978,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"999",1978,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1000",1978,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1001",1978,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1002",1978,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1003",1978,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1004",1978,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1005",1978,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1006",1978,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1007",1978,"Economic Policy & Debt: Official development assistance",39
"1008",1978,"Education: Efficiency",18
"1009",1978,"Education: Inputs",18
"1010",1978,"Education: Outcomes",28
"1011",1978,"Education: Participation",43
"1012",1978,"Employment and Time Use",1
"1013",1978,"Environment: Agricultural production",11
"1014",1978,"Environment: Density & urbanization",11
"1015",1978,"Environment: Energy production & use",15
"1016",1978,"Environment: Freshwater",9
"1017",1978,"Environment: Land use",9
"1018",1978,"Environment: Natural resources contribution to GDP",6
"1019",1978,"Financial Sector: Assets",9
"1020",1978,"Financial Sector: Capital markets",6
"1021",1978,"Financial Sector: Exchange rates & prices",7
"1022",1978,"Financial Sector: Interest rates",5
"1023",1978,"Financial Sector: Monetary holdings (liabilities)",4
"1024",1978,"Health: Health systems",2
"1025",1978,"Health: Mortality",17
"1026",1978,"Health: Population: Dynamics",6
"1027",1978,"Health: Population: Structure",58
"1028",1978,"Health: Reproductive health",4
"1029",1978,"Infrastructure: Communications",7
"1030",1978,"Infrastructure: Transportation",3
"1031",1978,"Poverty: Income distribution",9
"1032",1978,"Poverty: Poverty rates",7
"1033",1978,"Poverty: Shared prosperity",1
"1034",1978,"Private Sector & Trade: Exports",23
"1035",1978,"Private Sector & Trade: Imports",23
"1036",1978,"Private Sector & Trade: Total merchandise trade",1
"1037",1978,"Public Sector: Defense & arms trade",5
"1038",1978,"Public Sector: Government finance: Deficit & financing",8
"1039",1978,"Public Sector: Government finance: Expense",11
"1040",1978,"Public Sector: Government finance: Revenue",22
"1041",1978,"Social Protection & Labor: Economic activity",9
"1042",1978,"Social Protection & Labor: Labor force structure",7
"1043",1978,"Social Protection & Labor: Migration",3
"1044",1978,"Social Protection & Labor: Unemployment",9
"1045",1979,"",31
"1046",1979,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1047",1979,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1048",1979,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1049",1979,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1050",1979,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1051",1979,"Economic Policy & Debt: External debt: Debt outstanding",9
"1052",1979,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1053",1979,"Economic Policy & Debt: External debt: Debt service",5
"1054",1979,"Economic Policy & Debt: External debt: Net flows",19
"1055",1979,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1056",1979,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1057",1979,"Economic Policy & Debt: National accounts: Growth rates",16
"1058",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1059",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1060",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1061",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1062",1979,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1063",1979,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1064",1979,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1065",1979,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1066",1979,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1067",1979,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1068",1979,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1069",1979,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1070",1979,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1071",1979,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1072",1979,"Economic Policy & Debt: Official development assistance",40
"1073",1979,"Education: Efficiency",18
"1074",1979,"Education: Inputs",17
"1075",1979,"Education: Outcomes",31
"1076",1979,"Education: Participation",43
"1077",1979,"Employment and Time Use",1
"1078",1979,"Environment: Agricultural production",11
"1079",1979,"Environment: Density & urbanization",11
"1080",1979,"Environment: Energy production & use",15
"1081",1979,"Environment: Freshwater",9
"1082",1979,"Environment: Land use",9
"1083",1979,"Environment: Natural resources contribution to GDP",6
"1084",1979,"Financial Sector: Assets",9
"1085",1979,"Financial Sector: Capital markets",6
"1086",1979,"Financial Sector: Exchange rates & prices",8
"1087",1979,"Financial Sector: Interest rates",5
"1088",1979,"Financial Sector: Monetary holdings (liabilities)",4
"1089",1979,"Health: Health systems",2
"1090",1979,"Health: Mortality",17
"1091",1979,"Health: Population: Dynamics",6
"1092",1979,"Health: Population: Structure",58
"1093",1979,"Health: Reproductive health",4
"1094",1979,"Infrastructure: Communications",7
"1095",1979,"Infrastructure: Transportation",3
"1096",1979,"Poverty: Income distribution",9
"1097",1979,"Poverty: Poverty rates",7
"1098",1979,"Poverty: Shared prosperity",1
"1099",1979,"Private Sector & Trade: Exports",23
"1100",1979,"Private Sector & Trade: Imports",23
"1101",1979,"Private Sector & Trade: Total merchandise trade",1
"1102",1979,"Public Sector: Defense & arms trade",5
"1103",1979,"Public Sector: Government finance: Deficit & financing",8
"1104",1979,"Public Sector: Government finance: Expense",11
"1105",1979,"Public Sector: Government finance: Revenue",22
"1106",1979,"Social Protection & Labor: Economic activity",9
"1107",1979,"Social Protection & Labor: Labor force structure",7
"1108",1979,"Social Protection & Labor: Migration",3
"1109",1979,"Social Protection & Labor: Unemployment",9
"1110",1980,"",31
"1111",1980,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1112",1980,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1113",1980,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1114",1980,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1115",1980,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1116",1980,"Economic Policy & Debt: External debt: Debt outstanding",9
"1117",1980,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1118",1980,"Economic Policy & Debt: External debt: Debt service",5
"1119",1980,"Economic Policy & Debt: External debt: Net flows",19
"1120",1980,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1121",1980,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1122",1980,"Economic Policy & Debt: National accounts: Growth rates",16
"1123",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1124",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1125",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1126",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1127",1980,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1128",1980,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1129",1980,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1130",1980,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1131",1980,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1132",1980,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1133",1980,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1134",1980,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1135",1980,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1136",1980,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1137",1980,"Economic Policy & Debt: Official development assistance",41
"1138",1980,"Education: Efficiency",18
"1139",1980,"Education: Inputs",18
"1140",1980,"Education: Outcomes",34
"1141",1980,"Education: Participation",43
"1142",1980,"Employment and Time Use",1
"1143",1980,"Environment: Agricultural production",11
"1144",1980,"Environment: Density & urbanization",11
"1145",1980,"Environment: Energy production & use",15
"1146",1980,"Environment: Freshwater",9
"1147",1980,"Environment: Land use",9
"1148",1980,"Environment: Natural resources contribution to GDP",6
"1149",1980,"Financial Sector: Assets",9
"1150",1980,"Financial Sector: Capital markets",6
"1151",1980,"Financial Sector: Exchange rates & prices",8
"1152",1980,"Financial Sector: Interest rates",5
"1153",1980,"Financial Sector: Monetary holdings (liabilities)",4
"1154",1980,"Health: Disease prevention",2
"1155",1980,"Health: Health systems",2
"1156",1980,"Health: Mortality",17
"1157",1980,"Health: Population: Dynamics",6
"1158",1980,"Health: Population: Structure",58
"1159",1980,"Health: Reproductive health",6
"1160",1980,"Infrastructure: Communications",7
"1161",1980,"Infrastructure: Technology",4
"1162",1980,"Infrastructure: Transportation",3
"1163",1980,"Poverty: Income distribution",9
"1164",1980,"Poverty: Poverty rates",7
"1165",1980,"Poverty: Shared prosperity",1
"1166",1980,"Private Sector & Trade: Exports",23
"1167",1980,"Private Sector & Trade: Imports",23
"1168",1980,"Private Sector & Trade: Total merchandise trade",1
"1169",1980,"Private Sector & Trade: Trade price indices",2
"1170",1980,"Public Sector: Defense & arms trade",5
"1171",1980,"Public Sector: Government finance: Deficit & financing",8
"1172",1980,"Public Sector: Government finance: Expense",11
"1173",1980,"Public Sector: Government finance: Revenue",22
"1174",1980,"Social Protection & Labor: Economic activity",9
"1175",1980,"Social Protection & Labor: Labor force structure",16
"1176",1980,"Social Protection & Labor: Migration",4
"1177",1980,"Social Protection & Labor: Unemployment",17
"1178",1980,"Trade",5
"1179",1981,"",31
"1180",1981,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1181",1981,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1182",1981,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1183",1981,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1184",1981,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1185",1981,"Economic Policy & Debt: External debt: Debt outstanding",9
"1186",1981,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1187",1981,"Economic Policy & Debt: External debt: Debt service",5
"1188",1981,"Economic Policy & Debt: External debt: Net flows",19
"1189",1981,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1190",1981,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1191",1981,"Economic Policy & Debt: National accounts: Growth rates",16
"1192",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1193",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1194",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1195",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1196",1981,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1197",1981,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1198",1981,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1199",1981,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1200",1981,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1201",1981,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1202",1981,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1203",1981,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1204",1981,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1205",1981,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1206",1981,"Economic Policy & Debt: Official development assistance",41
"1207",1981,"Education: Efficiency",18
"1208",1981,"Education: Inputs",19
"1209",1981,"Education: Outcomes",34
"1210",1981,"Education: Participation",43
"1211",1981,"Employment and Time Use",1
"1212",1981,"Environment: Agricultural production",11
"1213",1981,"Environment: Density & urbanization",11
"1214",1981,"Environment: Energy production & use",15
"1215",1981,"Environment: Freshwater",9
"1216",1981,"Environment: Land use",9
"1217",1981,"Environment: Natural resources contribution to GDP",6
"1218",1981,"Financial Sector: Assets",9
"1219",1981,"Financial Sector: Capital markets",6
"1220",1981,"Financial Sector: Exchange rates & prices",8
"1221",1981,"Financial Sector: Interest rates",5
"1222",1981,"Financial Sector: Monetary holdings (liabilities)",4
"1223",1981,"Health: Disease prevention",2
"1224",1981,"Health: Health systems",2
"1225",1981,"Health: Mortality",17
"1226",1981,"Health: Population: Dynamics",6
"1227",1981,"Health: Population: Structure",58
"1228",1981,"Health: Reproductive health",6
"1229",1981,"Infrastructure: Communications",7
"1230",1981,"Infrastructure: Technology",4
"1231",1981,"Infrastructure: Transportation",3
"1232",1981,"Poverty: Income distribution",9
"1233",1981,"Poverty: Poverty rates",7
"1234",1981,"Poverty: Shared prosperity",1
"1235",1981,"Private Sector & Trade: Exports",23
"1236",1981,"Private Sector & Trade: Imports",23
"1237",1981,"Private Sector & Trade: Total merchandise trade",1
"1238",1981,"Private Sector & Trade: Trade price indices",2
"1239",1981,"Public Sector: Defense & arms trade",5
"1240",1981,"Public Sector: Government finance: Deficit & financing",8
"1241",1981,"Public Sector: Government finance: Expense",11
"1242",1981,"Public Sector: Government finance: Revenue",22
"1243",1981,"Social Protection & Labor: Economic activity",9
"1244",1981,"Social Protection & Labor: Labor force structure",7
"1245",1981,"Social Protection & Labor: Migration",3
"1246",1981,"Social Protection & Labor: Unemployment",9
"1247",1981,"Trade",5
"1248",1982,"",31
"1249",1982,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1250",1982,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1251",1982,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1252",1982,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1253",1982,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1254",1982,"Economic Policy & Debt: External debt: Debt outstanding",9
"1255",1982,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1256",1982,"Economic Policy & Debt: External debt: Debt service",5
"1257",1982,"Economic Policy & Debt: External debt: Net flows",19
"1258",1982,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1259",1982,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1260",1982,"Economic Policy & Debt: National accounts: Growth rates",16
"1261",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1262",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1263",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1264",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1265",1982,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1266",1982,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1267",1982,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1268",1982,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1269",1982,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1270",1982,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1271",1982,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1272",1982,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1273",1982,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1274",1982,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1275",1982,"Economic Policy & Debt: Official development assistance",41
"1276",1982,"Education: Efficiency",18
"1277",1982,"Education: Inputs",19
"1278",1982,"Education: Outcomes",31
"1279",1982,"Education: Participation",43
"1280",1982,"Employment and Time Use",1
"1281",1982,"Environment: Agricultural production",11
"1282",1982,"Environment: Density & urbanization",11
"1283",1982,"Environment: Energy production & use",15
"1284",1982,"Environment: Freshwater",9
"1285",1982,"Environment: Land use",9
"1286",1982,"Environment: Natural resources contribution to GDP",6
"1287",1982,"Financial Sector: Assets",9
"1288",1982,"Financial Sector: Capital markets",6
"1289",1982,"Financial Sector: Exchange rates & prices",8
"1290",1982,"Financial Sector: Interest rates",5
"1291",1982,"Financial Sector: Monetary holdings (liabilities)",4
"1292",1982,"Health: Disease prevention",2
"1293",1982,"Health: Health systems",2
"1294",1982,"Health: Mortality",17
"1295",1982,"Health: Population: Dynamics",6
"1296",1982,"Health: Population: Structure",58
"1297",1982,"Health: Reproductive health",6
"1298",1982,"Infrastructure: Communications",7
"1299",1982,"Infrastructure: Technology",4
"1300",1982,"Infrastructure: Transportation",3
"1301",1982,"Poverty: Income distribution",9
"1302",1982,"Poverty: Poverty rates",7
"1303",1982,"Poverty: Shared prosperity",1
"1304",1982,"Private Sector & Trade: Exports",23
"1305",1982,"Private Sector & Trade: Imports",23
"1306",1982,"Private Sector & Trade: Total merchandise trade",1
"1307",1982,"Private Sector & Trade: Trade price indices",2
"1308",1982,"Public Sector: Defense & arms trade",5
"1309",1982,"Public Sector: Government finance: Deficit & financing",8
"1310",1982,"Public Sector: Government finance: Expense",11
"1311",1982,"Public Sector: Government finance: Revenue",22
"1312",1982,"Social Protection & Labor: Economic activity",9
"1313",1982,"Social Protection & Labor: Labor force structure",16
"1314",1982,"Social Protection & Labor: Migration",3
"1315",1982,"Social Protection & Labor: Unemployment",18
"1316",1982,"Trade",5
"1317",1983,"",31
"1318",1983,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1319",1983,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1320",1983,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1321",1983,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1322",1983,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1323",1983,"Economic Policy & Debt: External debt: Debt outstanding",9
"1324",1983,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1325",1983,"Economic Policy & Debt: External debt: Debt service",5
"1326",1983,"Economic Policy & Debt: External debt: Net flows",19
"1327",1983,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1328",1983,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1329",1983,"Economic Policy & Debt: National accounts: Growth rates",16
"1330",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1331",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1332",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1333",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1334",1983,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1335",1983,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1336",1983,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1337",1983,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1338",1983,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1339",1983,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1340",1983,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1341",1983,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1342",1983,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1343",1983,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1344",1983,"Economic Policy & Debt: Official development assistance",41
"1345",1983,"Education: Efficiency",18
"1346",1983,"Education: Inputs",18
"1347",1983,"Education: Outcomes",28
"1348",1983,"Education: Participation",43
"1349",1983,"Employment and Time Use",1
"1350",1983,"Environment: Agricultural production",11
"1351",1983,"Environment: Density & urbanization",11
"1352",1983,"Environment: Energy production & use",15
"1353",1983,"Environment: Freshwater",9
"1354",1983,"Environment: Land use",9
"1355",1983,"Environment: Natural resources contribution to GDP",6
"1356",1983,"Financial Sector: Assets",9
"1357",1983,"Financial Sector: Capital markets",6
"1358",1983,"Financial Sector: Exchange rates & prices",8
"1359",1983,"Financial Sector: Interest rates",5
"1360",1983,"Financial Sector: Monetary holdings (liabilities)",4
"1361",1983,"Health: Disease prevention",2
"1362",1983,"Health: Health systems",2
"1363",1983,"Health: Mortality",17
"1364",1983,"Health: Nutrition",5
"1365",1983,"Health: Population: Dynamics",6
"1366",1983,"Health: Population: Structure",58
"1367",1983,"Health: Reproductive health",6
"1368",1983,"Infrastructure: Communications",7
"1369",1983,"Infrastructure: Technology",4
"1370",1983,"Infrastructure: Transportation",3
"1371",1983,"Poverty: Income distribution",9
"1372",1983,"Poverty: Poverty rates",7
"1373",1983,"Poverty: Shared prosperity",1
"1374",1983,"Private Sector & Trade: Exports",23
"1375",1983,"Private Sector & Trade: Imports",23
"1376",1983,"Private Sector & Trade: Total merchandise trade",1
"1377",1983,"Private Sector & Trade: Trade price indices",2
"1378",1983,"Public Sector: Defense & arms trade",5
"1379",1983,"Public Sector: Government finance: Deficit & financing",8
"1380",1983,"Public Sector: Government finance: Expense",11
"1381",1983,"Public Sector: Government finance: Revenue",22
"1382",1983,"Social Protection & Labor: Economic activity",9
"1383",1983,"Social Protection & Labor: Labor force structure",7
"1384",1983,"Social Protection & Labor: Migration",3
"1385",1983,"Social Protection & Labor: Unemployment",9
"1386",1983,"Trade",5
"1387",1984,"",31
"1388",1984,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1389",1984,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1390",1984,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1391",1984,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1392",1984,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1393",1984,"Economic Policy & Debt: External debt: Debt outstanding",9
"1394",1984,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1395",1984,"Economic Policy & Debt: External debt: Debt service",5
"1396",1984,"Economic Policy & Debt: External debt: Net flows",20
"1397",1984,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1398",1984,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1399",1984,"Economic Policy & Debt: National accounts: Growth rates",16
"1400",1984,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1401",1984,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1402",1984,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1403",1984,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1404",1984,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1405",1984,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1406",1984,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1407",1984,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1408",1984,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1409",1984,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1410",1984,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1411",1984,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1412",1984,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1413",1984,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1414",1984,"Economic Policy & Debt: Official development assistance",41
"1415",1984,"Education: Efficiency",18
"1416",1984,"Education: Inputs",19
"1417",1984,"Education: Outcomes",31
"1418",1984,"Education: Participation",43
"1419",1984,"Employment and Time Use",1
"1420",1984,"Environment: Agricultural production",11
"1421",1984,"Environment: Density & urbanization",11
"1422",1984,"Environment: Energy production & use",15
"1423",1984,"Environment: Freshwater",9
"1424",1984,"Environment: Land use",9
"1425",1984,"Environment: Natural resources contribution to GDP",6
"1426",1984,"Financial Sector: Assets",9
"1427",1984,"Financial Sector: Capital markets",6
"1428",1984,"Financial Sector: Exchange rates & prices",8
"1429",1984,"Financial Sector: Interest rates",5
"1430",1984,"Financial Sector: Monetary holdings (liabilities)",4
"1431",1984,"Health: Disease prevention",2
"1432",1984,"Health: Health systems",2
"1433",1984,"Health: Mortality",17
"1434",1984,"Health: Population: Dynamics",6
"1435",1984,"Health: Population: Structure",58
"1436",1984,"Health: Reproductive health",8
"1437",1984,"Infrastructure: Communications",7
"1438",1984,"Infrastructure: Technology",4
"1439",1984,"Infrastructure: Transportation",3
"1440",1984,"Poverty: Income distribution",9
"1441",1984,"Poverty: Poverty rates",7
"1442",1984,"Poverty: Shared prosperity",1
"1443",1984,"Private Sector & Trade: Exports",23
"1444",1984,"Private Sector & Trade: Imports",23
"1445",1984,"Private Sector & Trade: Private infrastructure investment",4
"1446",1984,"Private Sector & Trade: Total merchandise trade",1
"1447",1984,"Private Sector & Trade: Trade price indices",2
"1448",1984,"Public Sector: Defense & arms trade",5
"1449",1984,"Public Sector: Government finance: Deficit & financing",8
"1450",1984,"Public Sector: Government finance: Expense",11
"1451",1984,"Public Sector: Government finance: Revenue",22
"1452",1984,"Social Protection & Labor: Economic activity",9
"1453",1984,"Social Protection & Labor: Labor force structure",7
"1454",1984,"Social Protection & Labor: Migration",3
"1455",1984,"Social Protection & Labor: Unemployment",9
"1456",1984,"Trade",5
"1457",1985,"",31
"1458",1985,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1459",1985,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1460",1985,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1461",1985,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1462",1985,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1463",1985,"Economic Policy & Debt: External debt: Debt outstanding",9
"1464",1985,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1465",1985,"Economic Policy & Debt: External debt: Debt service",5
"1466",1985,"Economic Policy & Debt: External debt: Net flows",20
"1467",1985,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1468",1985,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1469",1985,"Economic Policy & Debt: National accounts: Growth rates",16
"1470",1985,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1471",1985,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1472",1985,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1473",1985,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
