"","Year","datatopic","peryear_indicators"
"876",1976,"Financial Sector: Monetary holdings (liabilities)",4
"877",1976,"Health: Health systems",2
"878",1976,"Health: Mortality",17
"879",1976,"Health: Population: Dynamics",6
"880",1976,"Health: Population: Structure",58
"881",1976,"Health: Reproductive health",4
"882",1976,"Infrastructure: Communications",6
"883",1976,"Infrastructure: Transportation",3
"884",1976,"Poverty: Income distribution",9
"885",1976,"Poverty: Poverty rates",7
"886",1976,"Poverty: Shared prosperity",1
"887",1976,"Private Sector & Trade: Exports",23
"888",1976,"Private Sector & Trade: Imports",23
"889",1976,"Private Sector & Trade: Total merchandise trade",1
"890",1976,"Public Sector: Defense & arms trade",5
"891",1976,"Public Sector: Government finance: Deficit & financing",8
"892",1976,"Public Sector: Government finance: Expense",11
"893",1976,"Public Sector: Government finance: Revenue",22
"894",1976,"Social Protection & Labor: Economic activity",9
"895",1976,"Social Protection & Labor: Labor force structure",7
"896",1976,"Social Protection & Labor: Migration",5
"897",1976,"Social Protection & Labor: Unemployment",9
"898",1977,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"899",1977,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"900",1977,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"901",1977,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"902",1977,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"903",1977,"Economic Policy & Debt: External debt: Debt outstanding",9
"904",1977,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"905",1977,"Economic Policy & Debt: External debt: Debt service",5
"906",1977,"Economic Policy & Debt: External debt: Net flows",19
"907",1977,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"908",1977,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"909",1977,"Economic Policy & Debt: National accounts: Growth rates",16
"910",1977,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"911",1977,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"912",1977,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"913",1977,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"914",1977,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"915",1977,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"916",1977,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"917",1977,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"918",1977,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"919",1977,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"920",1977,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"921",1977,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"922",1977,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"923",1977,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"924",1977,"Economic Policy & Debt: Official development assistance",40
"925",1977,"Education: Efficiency",18
"926",1977,"Education: Inputs",16
"927",1977,"Education: Outcomes",31
"928",1977,"Education: Participation",43
"929",1977,"Employment and Time Use",1
"930",1977,"Environment: Agricultural production",11
"931",1977,"Environment: Density & urbanization",11
"932",1977,"Environment: Emissions",31
"933",1977,"Environment: Freshwater",9
"934",1977,"Environment: Land use",9
"935",1977,"Environment: Natural resources contribution to GDP",6
"936",1977,"Financial Sector: Assets",9
"937",1977,"Financial Sector: Capital markets",6
"938",1977,"Financial Sector: Exchange rates & prices",7
"939",1977,"Financial Sector: Interest rates",5
"940",1977,"Financial Sector: Monetary holdings (liabilities)",4
"941",1977,"Health: Health systems",2
"942",1977,"Health: Mortality",17
"943",1977,"Health: Population: Dynamics",6
"944",1977,"Health: Population: Structure",58
"945",1977,"Health: Reproductive health",4
"946",1977,"Infrastructure: Communications",6
"947",1977,"Infrastructure: Transportation",3
"948",1977,"Poverty: Income distribution",9
"949",1977,"Poverty: Poverty rates",7
"950",1977,"Poverty: Shared prosperity",1
"951",1977,"Private Sector & Trade: Exports",23
"952",1977,"Private Sector & Trade: Imports",23
"953",1977,"Private Sector & Trade: Total merchandise trade",1
"954",1977,"Public Sector: Defense & arms trade",5
"955",1977,"Public Sector: Government finance: Deficit & financing",8
"956",1977,"Public Sector: Government finance: Expense",11
"957",1977,"Public Sector: Government finance: Revenue",22
"958",1977,"Social Protection & Labor: Economic activity",9
"959",1977,"Social Protection & Labor: Labor force structure",7
"960",1977,"Social Protection & Labor: Migration",5
"961",1977,"Social Protection & Labor: Unemployment",9
"962",1978,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"963",1978,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"964",1978,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"965",1978,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"966",1978,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"967",1978,"Economic Policy & Debt: External debt: Debt outstanding",9
"968",1978,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"969",1978,"Economic Policy & Debt: External debt: Debt service",5
"970",1978,"Economic Policy & Debt: External debt: Net flows",19
"971",1978,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"972",1978,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"973",1978,"Economic Policy & Debt: National accounts: Growth rates",16
"974",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"975",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"976",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"977",1978,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"978",1978,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"979",1978,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"980",1978,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"981",1978,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"982",1978,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"983",1978,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"984",1978,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"985",1978,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"986",1978,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"987",1978,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"988",1978,"Economic Policy & Debt: Official development assistance",39
"989",1978,"Education: Efficiency",18
"990",1978,"Education: Inputs",17
"991",1978,"Education: Outcomes",28
"992",1978,"Education: Participation",43
"993",1978,"Employment and Time Use",1
"994",1978,"Environment: Agricultural production",11
"995",1978,"Environment: Density & urbanization",11
"996",1978,"Environment: Emissions",31
"997",1978,"Environment: Freshwater",9
"998",1978,"Environment: Land use",9
"999",1978,"Environment: Natural resources contribution to GDP",6
"1000",1978,"Financial Sector: Assets",9
"1001",1978,"Financial Sector: Capital markets",6
"1002",1978,"Financial Sector: Exchange rates & prices",7
"1003",1978,"Financial Sector: Interest rates",5
"1004",1978,"Financial Sector: Monetary holdings (liabilities)",4
"1005",1978,"Health: Health systems",2
"1006",1978,"Health: Mortality",17
"1007",1978,"Health: Population: Dynamics",6
"1008",1978,"Health: Population: Structure",58
"1009",1978,"Health: Reproductive health",4
"1010",1978,"Infrastructure: Communications",6
"1011",1978,"Infrastructure: Transportation",3
"1012",1978,"Poverty: Income distribution",9
"1013",1978,"Poverty: Poverty rates",7
"1014",1978,"Poverty: Shared prosperity",1
"1015",1978,"Private Sector & Trade: Exports",23
"1016",1978,"Private Sector & Trade: Imports",23
"1017",1978,"Private Sector & Trade: Total merchandise trade",1
"1018",1978,"Public Sector: Defense & arms trade",5
"1019",1978,"Public Sector: Government finance: Deficit & financing",8
"1020",1978,"Public Sector: Government finance: Expense",11
"1021",1978,"Public Sector: Government finance: Revenue",22
"1022",1978,"Social Protection & Labor: Economic activity",9
"1023",1978,"Social Protection & Labor: Labor force structure",7
"1024",1978,"Social Protection & Labor: Migration",5
"1025",1978,"Social Protection & Labor: Unemployment",9
"1026",1979,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1027",1979,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1028",1979,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1029",1979,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1030",1979,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1031",1979,"Economic Policy & Debt: External debt: Debt outstanding",9
"1032",1979,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1033",1979,"Economic Policy & Debt: External debt: Debt service",5
"1034",1979,"Economic Policy & Debt: External debt: Net flows",19
"1035",1979,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1036",1979,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1037",1979,"Economic Policy & Debt: National accounts: Growth rates",16
"1038",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1039",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1040",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1041",1979,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1042",1979,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1043",1979,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1044",1979,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1045",1979,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1046",1979,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1047",1979,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1048",1979,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1049",1979,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1050",1979,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1051",1979,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1052",1979,"Economic Policy & Debt: Official development assistance",40
"1053",1979,"Education: Efficiency",18
"1054",1979,"Education: Inputs",16
"1055",1979,"Education: Outcomes",31
"1056",1979,"Education: Participation",43
"1057",1979,"Employment and Time Use",1
"1058",1979,"Environment: Agricultural production",11
"1059",1979,"Environment: Density & urbanization",11
"1060",1979,"Environment: Emissions",31
"1061",1979,"Environment: Freshwater",9
"1062",1979,"Environment: Land use",9
"1063",1979,"Environment: Natural resources contribution to GDP",6
"1064",1979,"Financial Sector: Assets",9
"1065",1979,"Financial Sector: Capital markets",6
"1066",1979,"Financial Sector: Exchange rates & prices",8
"1067",1979,"Financial Sector: Interest rates",5
"1068",1979,"Financial Sector: Monetary holdings (liabilities)",4
"1069",1979,"Health: Health systems",2
"1070",1979,"Health: Mortality",17
"1071",1979,"Health: Population: Dynamics",6
"1072",1979,"Health: Population: Structure",58
"1073",1979,"Health: Reproductive health",4
"1074",1979,"Infrastructure: Communications",6
"1075",1979,"Infrastructure: Transportation",3
"1076",1979,"Poverty: Income distribution",9
"1077",1979,"Poverty: Poverty rates",7
"1078",1979,"Poverty: Shared prosperity",1
"1079",1979,"Private Sector & Trade: Exports",23
"1080",1979,"Private Sector & Trade: Imports",23
"1081",1979,"Private Sector & Trade: Total merchandise trade",1
"1082",1979,"Public Sector: Defense & arms trade",5
"1083",1979,"Public Sector: Government finance: Deficit & financing",8
"1084",1979,"Public Sector: Government finance: Expense",11
"1085",1979,"Public Sector: Government finance: Revenue",22
"1086",1979,"Social Protection & Labor: Economic activity",9
"1087",1979,"Social Protection & Labor: Labor force structure",7
"1088",1979,"Social Protection & Labor: Migration",5
"1089",1979,"Social Protection & Labor: Unemployment",9
"1090",1980,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1091",1980,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1092",1980,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1093",1980,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1094",1980,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1095",1980,"Economic Policy & Debt: External debt: Debt outstanding",9
"1096",1980,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1097",1980,"Economic Policy & Debt: External debt: Debt service",5
"1098",1980,"Economic Policy & Debt: External debt: Net flows",19
"1099",1980,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1100",1980,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1101",1980,"Economic Policy & Debt: National accounts: Growth rates",16
"1102",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1103",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1104",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1105",1980,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1106",1980,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1107",1980,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1108",1980,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1109",1980,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1110",1980,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1111",1980,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1112",1980,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1113",1980,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1114",1980,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1115",1980,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1116",1980,"Economic Policy & Debt: Official development assistance",41
"1117",1980,"Education: Efficiency",18
"1118",1980,"Education: Inputs",18
"1119",1980,"Education: Outcomes",34
"1120",1980,"Education: Participation",43
"1121",1980,"Employment and Time Use",1
"1122",1980,"Environment: Agricultural production",11
"1123",1980,"Environment: Density & urbanization",11
"1124",1980,"Environment: Emissions",31
"1125",1980,"Environment: Freshwater",9
"1126",1980,"Environment: Land use",9
"1127",1980,"Environment: Natural resources contribution to GDP",6
"1128",1980,"Financial Sector: Assets",9
"1129",1980,"Financial Sector: Capital markets",6
"1130",1980,"Financial Sector: Exchange rates & prices",8
"1131",1980,"Financial Sector: Interest rates",5
"1132",1980,"Financial Sector: Monetary holdings (liabilities)",4
"1133",1980,"Health: Disease prevention",2
"1134",1980,"Health: Health systems",2
"1135",1980,"Health: Mortality",17
"1136",1980,"Health: Population: Dynamics",6
"1137",1980,"Health: Population: Structure",58
"1138",1980,"Health: Reproductive health",6
"1139",1980,"Infrastructure: Communications",6
"1140",1980,"Infrastructure: Technology",4
"1141",1980,"Infrastructure: Transportation",3
"1142",1980,"Poverty: Income distribution",9
"1143",1980,"Poverty: Poverty rates",7
"1144",1980,"Poverty: Shared prosperity",1
"1145",1980,"Private Sector & Trade: Exports",23
"1146",1980,"Private Sector & Trade: Imports",23
"1147",1980,"Private Sector & Trade: Total merchandise trade",1
"1148",1980,"Private Sector & Trade: Trade price indices",2
"1149",1980,"Public Sector: Defense & arms trade",5
"1150",1980,"Public Sector: Government finance: Deficit & financing",8
"1151",1980,"Public Sector: Government finance: Expense",11
"1152",1980,"Public Sector: Government finance: Revenue",22
"1153",1980,"Social Protection & Labor: Economic activity",9
"1154",1980,"Social Protection & Labor: Labor force structure",16
"1155",1980,"Social Protection & Labor: Migration",5
"1156",1980,"Social Protection & Labor: Unemployment",17
"1157",1980,"Trade",5
"1158",1981,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1159",1981,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1160",1981,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1161",1981,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1162",1981,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1163",1981,"Economic Policy & Debt: External debt: Debt outstanding",9
"1164",1981,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1165",1981,"Economic Policy & Debt: External debt: Debt service",5
"1166",1981,"Economic Policy & Debt: External debt: Net flows",19
"1167",1981,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1168",1981,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1169",1981,"Economic Policy & Debt: National accounts: Growth rates",16
"1170",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1171",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1172",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1173",1981,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1174",1981,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1175",1981,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1176",1981,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1177",1981,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1178",1981,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1179",1981,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1180",1981,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1181",1981,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1182",1981,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1183",1981,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1184",1981,"Economic Policy & Debt: Official development assistance",41
"1185",1981,"Education: Efficiency",18
"1186",1981,"Education: Inputs",19
"1187",1981,"Education: Outcomes",34
"1188",1981,"Education: Participation",43
"1189",1981,"Employment and Time Use",1
"1190",1981,"Environment: Agricultural production",11
"1191",1981,"Environment: Density & urbanization",11
"1192",1981,"Environment: Emissions",31
"1193",1981,"Environment: Freshwater",9
"1194",1981,"Environment: Land use",9
"1195",1981,"Environment: Natural resources contribution to GDP",6
"1196",1981,"Financial Sector: Assets",9
"1197",1981,"Financial Sector: Capital markets",6
"1198",1981,"Financial Sector: Exchange rates & prices",8
"1199",1981,"Financial Sector: Interest rates",5
"1200",1981,"Financial Sector: Monetary holdings (liabilities)",4
"1201",1981,"Health: Disease prevention",2
"1202",1981,"Health: Health systems",2
"1203",1981,"Health: Mortality",17
"1204",1981,"Health: Population: Dynamics",6
"1205",1981,"Health: Population: Structure",58
"1206",1981,"Health: Reproductive health",6
"1207",1981,"Infrastructure: Communications",6
"1208",1981,"Infrastructure: Technology",4
"1209",1981,"Infrastructure: Transportation",3
"1210",1981,"Poverty: Income distribution",9
"1211",1981,"Poverty: Poverty rates",7
"1212",1981,"Poverty: Shared prosperity",1
"1213",1981,"Private Sector & Trade: Exports",23
"1214",1981,"Private Sector & Trade: Imports",23
"1215",1981,"Private Sector & Trade: Total merchandise trade",1
"1216",1981,"Private Sector & Trade: Trade price indices",2
"1217",1981,"Public Sector: Defense & arms trade",5
"1218",1981,"Public Sector: Government finance: Deficit & financing",8
"1219",1981,"Public Sector: Government finance: Expense",11
"1220",1981,"Public Sector: Government finance: Revenue",22
"1221",1981,"Social Protection & Labor: Economic activity",9
"1222",1981,"Social Protection & Labor: Labor force structure",7
"1223",1981,"Social Protection & Labor: Migration",5
"1224",1981,"Social Protection & Labor: Unemployment",9
"1225",1981,"Trade",5
"1226",1982,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1227",1982,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1228",1982,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1229",1982,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1230",1982,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1231",1982,"Economic Policy & Debt: External debt: Debt outstanding",9
"1232",1982,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1233",1982,"Economic Policy & Debt: External debt: Debt service",5
"1234",1982,"Economic Policy & Debt: External debt: Net flows",19
"1235",1982,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1236",1982,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1237",1982,"Economic Policy & Debt: National accounts: Growth rates",16
"1238",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1239",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1240",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1241",1982,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1242",1982,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1243",1982,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1244",1982,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1245",1982,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1246",1982,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1247",1982,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1248",1982,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1249",1982,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1250",1982,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1251",1982,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1252",1982,"Economic Policy & Debt: Official development assistance",41
"1253",1982,"Education: Efficiency",18
"1254",1982,"Education: Inputs",19
"1255",1982,"Education: Outcomes",31
"1256",1982,"Education: Participation",43
"1257",1982,"Employment and Time Use",1
"1258",1982,"Environment: Agricultural production",11
"1259",1982,"Environment: Density & urbanization",11
"1260",1982,"Environment: Emissions",31
"1261",1982,"Environment: Freshwater",9
"1262",1982,"Environment: Land use",9
"1263",1982,"Environment: Natural resources contribution to GDP",6
"1264",1982,"Financial Sector: Assets",9
"1265",1982,"Financial Sector: Capital markets",6
"1266",1982,"Financial Sector: Exchange rates & prices",8
"1267",1982,"Financial Sector: Interest rates",5
"1268",1982,"Financial Sector: Monetary holdings (liabilities)",4
"1269",1982,"Health: Disease prevention",2
"1270",1982,"Health: Health systems",2
"1271",1982,"Health: Mortality",17
"1272",1982,"Health: Population: Dynamics",6
"1273",1982,"Health: Population: Structure",58
"1274",1982,"Health: Reproductive health",6
"1275",1982,"Infrastructure: Communications",6
"1276",1982,"Infrastructure: Technology",4
"1277",1982,"Infrastructure: Transportation",3
"1278",1982,"Poverty: Income distribution",9
"1279",1982,"Poverty: Poverty rates",7
"1280",1982,"Poverty: Shared prosperity",1
"1281",1982,"Private Sector & Trade: Exports",23
"1282",1982,"Private Sector & Trade: Imports",23
"1283",1982,"Private Sector & Trade: Total merchandise trade",1
"1284",1982,"Private Sector & Trade: Trade price indices",2
"1285",1982,"Public Sector: Defense & arms trade",5
"1286",1982,"Public Sector: Government finance: Deficit & financing",8
"1287",1982,"Public Sector: Government finance: Expense",11
"1288",1982,"Public Sector: Government finance: Revenue",22
"1289",1982,"Social Protection & Labor: Economic activity",9
"1290",1982,"Social Protection & Labor: Labor force structure",16
"1291",1982,"Social Protection & Labor: Migration",5
"1292",1982,"Social Protection & Labor: Unemployment",18
"1293",1982,"Trade",5
"1294",1983,"Economic Policy & Debt: Balance of payments: Capital & financial account",11
"1295",1983,"Economic Policy & Debt: Balance of payments: Current account: Balances",4
"1296",1983,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"1297",1983,"Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"1298",1983,"Economic Policy & Debt: Balance of payments: Reserves & other items",6
"1299",1983,"Economic Policy & Debt: External debt: Debt outstanding",9
"1300",1983,"Economic Policy & Debt: External debt: Debt ratios & other items",9
"1301",1983,"Economic Policy & Debt: External debt: Debt service",5
"1302",1983,"Economic Policy & Debt: External debt: Net flows",19
"1303",1983,"Economic Policy & Debt: National accounts: Adjusted savings & income",22
"1304",1983,"Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"1305",1983,"Economic Policy & Debt: National accounts: Growth rates",16
"1306",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"1307",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"1308",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"1309",1983,"Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"1310",1983,"Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",10
"1311",1983,"Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"1312",1983,"Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"1313",1983,"Economic Policy & Debt: National accounts: Shares of GDP & other",24
"1314",1983,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"1315",1983,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"1316",1983,"Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"1317",1983,"Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"1318",1983,"Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"1319",1983,"Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"1320",1983,"Economic Policy & Debt: Official development assistance",41
"1321",1983,"Education: Efficiency",18
"1322",1983,"Education: Inputs",18
"1323",1983,"Education: Outcomes",28
"1324",1983,"Education: Participation",43
"1325",1983,"Employment and Time Use",1
"1326",1983,"Environment: Agricultural production",11
"1327",1983,"Environment: Density & urbanization",11
"1328",1983,"Environment: Emissions",31
"1329",1983,"Environment: Freshwater",9
"1330",1983,"Environment: Land use",9
"1331",1983,"Environment: Natural resources contribution to GDP",6
"1332",1983,"Financial Sector: Assets",9
"1333",1983,"Financial Sector: Capital markets",6
"1334",1983,"Financial Sector: Exchange rates & prices",8
"1335",1983,"Financial Sector: Interest rates",5
"1336",1983,"Financial Sector: Monetary holdings (liabilities)",4
"1337",1983,"Health: Disease prevention",2
"1338",1983,"Health: Health systems",2
"1339",1983,"Health: Mortality",17
"1340",1983,"Health: Nutrition",5
"1341",1983,"Health: Population: Dynamics",6
"1342",1983,"Health: Population: Structure",58
"1343",1983,"Health: Reproductive health",6
"1344",1983,"Infrastructure: Communications",6
"1345",1983,"Infrastructure: Technology",4
"1346",1983,"Infrastructure: Transportation",3
"1347",1983,"Poverty: Income distribution",9
"1348",1983,"Poverty: Poverty rates",7
"1349",1983,"Poverty: Shared prosperity",1
"1350",1983,"Private Sector & Trade: Exports",23
"1351",1983,"Private Sector & Trade: Imports",23
"1352",1983,"Private Sector & Trade: Total merchandise trade",1
"1353",1983,"Private Sector & Trade: Trade price indices",2
"1354",1983,"Public Sector: Defense & arms trade",5
"1355",1983,"Public Sector: Government finance: Deficit & financing",8
"1356",1983,"Public Sector: Government finance: Expense",11
"1357",1983,"Public Sector: Government finance: Revenue",22
"1358",1983,"Social Protection & Labor: Economic activity",9
"1359",1983,"Social Protection & Labor: Labor force structure",7
"1360",1983,"Social Protection & Labor: Migration",5
"1361",1983,"Social Protection & Labor: Unemployment",9
"1362",1983,"Trade",5
