"","Indicator.Code","Development.relevance","Statistical.concept.and.methodology","License.Type","Short.definition","Long.definition","Source","metadata_availability","metadata_fail","metadata_length"
"626","NV.AGR.TOTL.CN","","","CC BY-4.0","","Agriculture, forestry, and fishing corresponds to ISIC divisions 1-3 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in current local currency.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",110
"627","NV.AGR.TOTL.KD","An economy's growth is measured by the change in the volume of its output or in the real incomes of its residents. The 2008 United Nations System of National Accounts (2008 SNA) offers three plausible indicators for calculating growth: the volume of gross domestic product (GDP), real gross domestic income, and real gross national income. The volume of GDP is the sum of value added, measured at constant prices, by households, government, and industries operating in the economy. GDP accounts for all domestic production, regardless of whether the income accrues to domestic or foreign institutions.","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Agriculture, forestry, and fishing corresponds to ISIC divisions 01-03 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in constant 2015 prices, expressed in U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.",5,"No missing metadata",446
"628","NV.AGR.TOTL.KD.ZG","An economy's growth is measured by the change in the volume of its output or in the real incomes of its residents. The 2008 United Nations System of National Accounts (2008 SNA) offers three plausible indicators for calculating growth: the volume of gross domestic product (GDP), real gross domestic income, and real gross national income. The volume of GDP is the sum of value added, measured at constant prices, by households, government, and industries operating in the economy. GDP accounts for all domestic production, regardless of whether the income accrues to domestic or foreign institutions.","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Annual growth rate for agricultural, forestry, and fishing value added based on constant local currency. Aggregates are based on constant 2015 prices, expressed in U.S. dollars. Agriculture corresponds to ISIC divisions 01-03 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4.","World Bank national accounts data, and OECD National Accounts data files.",5,"No missing metadata",458
"629","NV.AGR.TOTL.KN","","","CC BY-4.0","","Agriculture, forestry, and fishing corresponds to ISIC divisions 1-3 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in constant local currency.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",110
"630","NV.AGR.TOTL.ZS","","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Agriculture, forestry, and fishing corresponds to ISIC divisions 1-3 and includes forestry, hunting, and fishing, as well as cultivation of crops and livestock production. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Note: For VAB countries, gross value added at factor cost is used as the denominator.","World Bank national accounts data, and OECD National Accounts data files.",4,"Development relevance missing",353
"631","NV.FSM.TOTL.CN","","","CC BY-4.0","","Financial intermediation services indirectly measured (FISIM) is an indirect measure of the value of financial intermediation services (i.e. output) provided but for which financial institutions do not charge explicitly as compared to explicit bank charges. Although the 1993 SNA recommends that the FISIM are allocated as intermediate and final consumption to the users, many countries still make a global (negative) adjustment to the sum of gross value added.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",85
"632","NV.FSM.TOTL.KN","","","CC BY-4.0","","Financial intermediation services indirectly measured (FISIM) is an indirect measure of the value of financial intermediation services (i.e. output) provided but for which financial institutions do not charge explicitly as compared to explicit bank charges. Although the 1993 SNA recommends that the FISIM are allocated as intermediate and final consumption to the users, many countries still make a global (negative) adjustment to the sum of gross value added.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",85
"633","NV.IND.EMPL.KD","Labor productivity is used to assess a country's economic ability to create and sustain decent employment opportunities with fair and equitable remuneration. Productivity increases obtained through investment, trade, technological progress, or changes in work organization can increase social protection and reduce poverty, which in turn reduce vulnerable employment and working poverty. Productivity increases do not guarantee these improvements, but without them—and the economic growth they bring—improvements are highly unlikely. Please also see GDP per person employed (constant 2011 PPP $) [SL.GDP.PCAP.EM.KD], which is a key measure for monitoring the Sustainable Development Goal 8 of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all.","Value added per worker is calculated by dividing value added of a sector by the number employed in the sector.  
Gross domestic product (GDP) represents the sum of value added by all producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Value added by industry is normally measured at basic prices, while total GDP is measured at purchaser prices. 
Data on employment are modeled estimates by the International Labour Organization (ILO) ILOSTAT database. The concept of employment generally refers to people above a certain age who worked, or who held a job, during a reference period. Employment data include both full-time and part-time workers.","CC BY-4.0","","Value added per worker is a measure of labor productivity—value added per unit of input. Value added denotes the net output of a sector after adding up all outputs and subtracting intermediate inputs. Data are in constant 2015 U.S. dollars. Industry corresponds to the International Standard Industrial Classification (ISIC) tabulation categories C-F (revision 3) or tabulation categories B-F (revision 4), and includes mining and quarrying (including oil production), manufacturing, construction, and public utilities (electricity, gas, and water).","Derived using World Bank national accounts data and OECD National Accounts data files, and employment data from International Labour Organization, ILOSTAT database.",5,"No missing metadata",502
"634","NV.IND.MANF.CD","Firms typically use multiple processes to produce a product. For example, an automobile manufacturer engages in forging, welding, and painting as well as advertising, accounting, and other service activities. Collecting data at such a detailed level is not practical, nor is it useful to record production data at the highest level of a large, multiplant, multiproduct firm. The ISIC has therefore adopted as the definition of an establishment ""an enterprise or part of an enterprise which independently engages in one, or predominantly one, kind of economic activity at or from one location . . . for which data are available . . ."" (United Nations 1990). By design, this definition matches the reporting unit required for the production accounts of the United Nations System of National Accounts.

The ISIC system is described in the United Nations' International Standard Industrial Classification of All Economic Activities, Third Revision (1990). The discussion of the ISIC draws on Ryten (1998).","The data on manufacturing value added in U.S. dollars are from the World Bank's national accounts files and may differ from those UNIDO uses to calculate shares of value added by industry, in part because of differences in exchange rates. Thus value added in a particular industry estimated by applying the shares to total manufacturing value added will not match those from UNIDO sources. Classification of manufacturing industries accords with the United Nations International Standard Industrial Classification (ISIC) revision 3.

Data prior to 2008 used revision 2, first published in 1948. Revision 3 was completed in 1989, and many countries now use it. But revision 2 is still widely used for compiling cross-country data. UNIDO has converted these data to accord with revision 3. Concordances matching ISIC categories to national classification systems and to related systems such as the Standard International Trade Classification are available.","CC BY-4.0","","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Data are in current U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.",5,"No missing metadata",488
"635","NV.IND.MANF.CN","","","CC BY-4.0","","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Data are in current local currency.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",95
"636","NV.IND.MANF.KD","An economy's growth is measured by the change in the volume of its output or in the real incomes of its residents. The 2008 United Nations System of National Accounts (2008 SNA) offers three plausible indicators for calculating growth: the volume of gross domestic product (GDP), real gross domestic income, and real gross national income. The volume of GDP is the sum of value added, measured at constant prices, by households, government, and industries operating in the economy. GDP accounts for all domestic production, regardless of whether the income accrues to domestic or foreign institutions.","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Manufacturing refers to industries belonging to ISIC divisions 10-33. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in constant 2015 prices, expressed in U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.",5,"No missing metadata",505
"637","NV.IND.MANF.KD.ZG","An economy's growth is measured by the change in the volume of its output or in the real incomes of its residents. The 2008 United Nations System of National Accounts (2008 SNA) offers three plausible indicators for calculating growth: the volume of gross domestic product (GDP), real gross domestic income, and real gross national income. The volume of GDP is the sum of value added, measured at constant prices, by households, government, and industries operating in the economy. GDP accounts for all domestic production, regardless of whether the income accrues to domestic or foreign institutions.","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Annual growth rate for manufacturing value added based on constant local currency. Aggregates are based on constant 2015 prices, expressed in U.S. dollars. Manufacturing refers to industries belonging to ISIC divisions 10-33. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4.","World Bank national accounts data, and OECD National Accounts data files.",5,"No missing metadata",517
"638","NV.IND.MANF.KN","","","CC BY-4.0","","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Data are in constant local currency.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",95
"639","NV.IND.MANF.ZS","","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Note: For VAB countries, gross value added at factor cost is used as the denominator.","World Bank national accounts data, and OECD National Accounts data files.",4,"Development relevance missing",412
"640","NV.IND.TOTL.CD","","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Industry (including construction) corresponds to ISIC divisions 05-43 and includes manufacturing (ISIC divisions 10-33). It comprises value added in mining, manufacturing (also reported as a separate subgroup), construction, electricity, water, and gas. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in current U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.",4,"Development relevance missing",429
"641","NV.IND.TOTL.CN","","","CC BY-4.0","","Industry (including construction) corresponds to ISIC divisions 05-43 and includes manufacturing (ISIC divisions 10-33). It comprises value added in mining, manufacturing (also reported as a separate subgroup), construction, electricity, water, and gas. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in current local currency.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",119
"642","NV.IND.TOTL.KD","An economy's growth is measured by the change in the volume of its output or in the real incomes of its residents. The 2008 United Nations System of National Accounts (2008 SNA) offers three plausible indicators for calculating growth: the volume of gross domestic product (GDP), real gross domestic income, and real gross national income. The volume of GDP is the sum of value added, measured at constant prices, by households, government, and industries operating in the economy. GDP accounts for all domestic production, regardless of whether the income accrues to domestic or foreign institutions.","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Industry (including construction) corresponds to ISIC divisions 05-43 and includes manufacturing (ISIC divisions 10-33). It comprises value added in mining, manufacturing (also reported as a separate subgroup), construction, electricity, water, and gas. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in constant 2015 prices, expressed in U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.",5,"No missing metadata",529
"643","NV.IND.TOTL.KD.ZG","An economy's growth is measured by the change in the volume of its output or in the real incomes of its residents. The 2008 United Nations System of National Accounts (2008 SNA) offers three plausible indicators for calculating growth: the volume of gross domestic product (GDP), real gross domestic income, and real gross national income. The volume of GDP is the sum of value added, measured at constant prices, by households, government, and industries operating in the economy. GDP accounts for all domestic production, regardless of whether the income accrues to domestic or foreign institutions.","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Annual growth rate for industrial (including construction) value added based on constant local currency. Aggregates are based on constant 2015 prices, expressed in  U.S. dollars. Industry corresponds to ISIC divisions 05-43 and includes manufacturing (ISIC divisions 10-33). It comprises value added in mining, manufacturing (also reported as a separate subgroup), construction, electricity, water, and gas. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4.","World Bank national accounts data, and OECD National Accounts data files.",5,"No missing metadata",541
"644","NV.IND.TOTL.KN","","","CC BY-4.0","","Industry (including construction) corresponds to ISIC divisions 05-43 and includes manufacturing (ISIC divisions 10-33). It comprises value added in mining, manufacturing (also reported as a separate subgroup), construction, electricity, water, and gas. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Data are in constant local currency.","World Bank national accounts data, and OECD National Accounts data files.",3,"Development relevance missing",119
"645","NV.IND.TOTL.ZS","","Gross domestic product (GDP) represents the sum of value added by all its producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Total GDP is measured at purchaser prices. Value added by industry is normally measured at basic prices.","CC BY-4.0","","Industry (including construction) corresponds to ISIC divisions 05-43 and includes manufacturing (ISIC divisions 10-33). It comprises value added in mining, manufacturing (also reported as a separate subgroup), construction, electricity, water, and gas. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 4. Note: For VAB countries, gross value added at factor cost is used as the denominator.","World Bank national accounts data, and OECD National Accounts data files.",4,"Development relevance missing",436
"646","NV.MNF.CHEM.ZS.UN","Firms typically use multiple processes to produce a product. For example, an automobile manufacturer engages in forging, welding, and painting as well as advertising, accounting, and other service activities. Collecting data at such a detailed level is not practical, nor is it useful to record production data at the highest level of a large, multiplant, multiproduct firm. The ISIC has therefore adopted as the definition of an establishment ""an enterprise or part of an enterprise which independently engages in one, or predominantly one, kind of economic activity at or from one location . . . for which data are available . . ."" (United Nations 1990). By design, this definition matches the reporting unit required for the production accounts of the United Nations System of National Accounts.

The ISIC system is described in the United Nations' International Standard Industrial Classification of All Economic Activities, Third Revision (1990). The discussion of the ISIC draws on Ryten (1998).","The data on the distribution of manufacturing value added by industry are provided by the United Nations Industrial Development Organization (UNIDO). UNIDO obtains the data from a variety of national and international sources, including the United Nations Statistics Division, the World Bank, the Organisation for Economic Co-operation and Development, and the International Monetary Fund. To improve comparability over time and across countries, UNIDO supplements these data with information from industrial censuses, statistics from national and international organizations, unpublished data that it collects in the field, and estimates by the UNIDO Secretariat. Nevertheless, coverage may be incomplete, particularly for the informal sector. When direct information on inputs and outputs is not available, estimates may be used, which may result in errors in industry totals. Moreover, countries use different reference periods (calendar or fiscal year) and valuation methods (basic or producer prices) to estimate value added.","CC BY-4.0","","Value added in manufacturing is the sum of gross output less the value of intermediate inputs used in production for industries classified in ISIC major division D. Chemicals correspond to ISIC division 24.","United Nations Industrial Development Organization, International Yearbook of Industrial Statistics.",5,"No missing metadata",434
"647","NV.MNF.FBTO.ZS.UN","Firms typically use multiple processes to produce a product. For example, an automobile manufacturer engages in forging, welding, and painting as well as advertising, accounting, and other service activities. Collecting data at such a detailed level is not practical, nor is it useful to record production data at the highest level of a large, multiplant, multiproduct firm. The ISIC has therefore adopted as the definition of an establishment ""an enterprise or part of an enterprise which independently engages in one, or predominantly one, kind of economic activity at or from one location . . . for which data are available . . ."" (United Nations 1990). By design, this definition matches the reporting unit required for the production accounts of the United Nations System of National Accounts.

The ISIC system is described in the United Nations' International Standard Industrial Classification of All Economic Activities, Third Revision (1990). The discussion of the ISIC draws on Ryten (1998).","The data on the distribution of manufacturing value added by industry are provided by the United Nations Industrial Development Organization (UNIDO). UNIDO obtains the data from a variety of national and international sources, including the United Nations Statistics Division, the World Bank, the Organisation for Economic Co-operation and Development, and the International Monetary Fund. To improve comparability over time and across countries, UNIDO supplements these data with information from industrial censuses, statistics from national and international organizations, unpublished data that it collects in the field, and estimates by the UNIDO Secretariat. Nevertheless, coverage may be incomplete, particularly for the informal sector. When direct information on inputs and outputs is not available, estimates may be used, which may result in errors in industry totals. Moreover, countries use different reference periods (calendar or fiscal year) and valuation methods (basic or producer prices) to estimate value added.","CC BY-4.0","","Value added in manufacturing is the sum of gross output less the value of intermediate inputs used in production for industries classified in ISIC major division D. Food, beverages, and tobacco correspond to ISIC divisions 15 and 16.","United Nations Industrial Development Organization, International Yearbook of Industrial Statistics.",5,"No missing metadata",439
"648","NV.MNF.MTRN.ZS.UN","Firms typically use multiple processes to produce a product. For example, an automobile manufacturer engages in forging, welding, and painting as well as advertising, accounting, and other service activities. Collecting data at such a detailed level is not practical, nor is it useful to record production data at the highest level of a large, multiplant, multiproduct firm. The ISIC has therefore adopted as the definition of an establishment ""an enterprise or part of an enterprise which independently engages in one, or predominantly one, kind of economic activity at or from one location . . . for which data are available . . ."" (United Nations 1990). By design, this definition matches the reporting unit required for the production accounts of the United Nations System of National Accounts.

The ISIC system is described in the United Nations' International Standard Industrial Classification of All Economic Activities, Third Revision (1990). The discussion of the ISIC draws on Ryten (1998).","The data on the distribution of manufacturing value added by industry are provided by the United Nations Industrial Development Organization (UNIDO). UNIDO obtains the data from a variety of national and international sources, including the United Nations Statistics Division, the World Bank, the Organisation for Economic Co-operation and Development, and the International Monetary Fund. To improve comparability over time and across countries, UNIDO supplements these data with information from industrial censuses, statistics from national and international organizations, unpublished data that it collects in the field, and estimates by the UNIDO Secretariat. Nevertheless, coverage may be incomplete, particularly for the informal sector. When direct information on inputs and outputs is not available, estimates may be used, which may result in errors in industry totals. Moreover, countries use different reference periods (calendar or fiscal year) and valuation methods (basic or producer prices) to estimate value added.","CC BY-4.0","","Value added in manufacturing is the sum of gross output less the value of intermediate inputs used in production for industries classified in ISIC major division D. Machinery and transport equipment correspond to ISIC divisions 29, 30, 32, 34, and 35.","United Nations Industrial Development Organization, International Yearbook of Industrial Statistics.",5,"No missing metadata",442
"649","NV.MNF.OTHR.ZS.UN","Firms typically use multiple processes to produce a product. For example, an automobile manufacturer engages in forging, welding, and painting as well as advertising, accounting, and other service activities. Collecting data at such a detailed level is not practical, nor is it useful to record production data at the highest level of a large, multiplant, multiproduct firm. The ISIC has therefore adopted as the definition of an establishment ""an enterprise or part of an enterprise which independently engages in one, or predominantly one, kind of economic activity at or from one location . . . for which data are available . . ."" (United Nations 1990). By design, this definition matches the reporting unit required for the production accounts of the United Nations System of National Accounts.

The ISIC system is described in the United Nations' International Standard Industrial Classification of All Economic Activities, Third Revision (1990). The discussion of the ISIC draws on Ryten (1998).","The data on the distribution of manufacturing value added by industry are provided by the United Nations Industrial Development Organization (UNIDO). UNIDO obtains the data from a variety of national and international sources, including the United Nations Statistics Division, the World Bank, the Organisation for Economic Co-operation and Development, and the International Monetary Fund. To improve comparability over time and across countries, UNIDO supplements these data with information from industrial censuses, statistics from national and international organizations, unpublished data that it collects in the field, and estimates by the UNIDO Secretariat. Nevertheless, coverage may be incomplete, particularly for the informal sector. When direct information on inputs and outputs is not available, estimates may be used, which may result in errors in industry totals. Moreover, countries use different reference periods (calendar or fiscal year) and valuation methods (basic or producer prices) to estimate value added.","CC BY-4.0","","Value added in manufacturing is the sum of gross output less the value of intermediate inputs used in production for industries classified in ISIC major division D. Other manufacturing, a residual, covers wood and related products (ISIC division 20), paper and related products (ISIC divisions 21 and 22), petroleum and related products (ISIC division 23), basic metals and mineral products (ISIC division27), fabricated metal products and professional goods (ISIC division 28), and other industries (ISIC divisions 25, 26, 31, 33, 36, and 37). Includes unallocated data. When data for textiles, machinery, or chemicals are shown as not available, they are included in other manufacturing.","United Nations Industrial Development Organization, International Yearbook of Industrial Statistics.",5,"No missing metadata",505
"650","NV.MNF.TECH.ZS.UN","Industrial development generally entails a structural transition from resource-based and low technology activities to medium and high-tech industry (MHT) activities. A modern, highly complex production structure offers better opportunities for skills development and technological innovation. MHT activities are also the high value addition industries of manufacturing with higher technological intensity and labour productivity. Increasing the share of MHT sectors also reflects the impact of innovation","The indicator is calculated as the share of the sum of the value added from medium and high-tech industry economic activities to manufacturing value added. The medium and high-tech industry is defined using OECD classification as the following by International Standard Industrial Classification of All Economic Activities (ISIC) Revision 3 and Revision 4 Division respectively: ISIC Rev. 3 (24, 29, 30, 31, 32, 33, 34, 35 excluding 351). Manufacturing value added is the value added of manufacturing industry, which is Section C of ISIC Rev.4, and Section D of ISIC Rev.3.  Data can be found in UNIDO INDSTAT4 Database by ISIC Revision 3 and ISIC Revision 4 respectively. Data are collected using General Industrial Statistics Questionnaire which is filled by NSOs and submitted to UNIDO annually. Data for OECD countries are obtained directly from OECD. Country data are also collected from official publications and official web-sites. For additional information please see Table B.2.2 in Appendix B of UNIDO (2017): http://stat.unido.org/content/publications/volume-i%252c-competitive-industrial-performance-report-2016","CC BY-4.0","","The proportion of medium and high-tech industry value added in total value added of manufacturing","United Nations Industrial Development Organization (UNIDO), Competitive Industrial Performance (CIP) database",5,"No missing metadata",352
"651","NV.MNF.TXTL.ZS.UN","Firms typically use multiple processes to produce a product. For example, an automobile manufacturer engages in forging, welding, and painting as well as advertising, accounting, and other service activities. Collecting data at such a detailed level is not practical, nor is it useful to record production data at the highest level of a large, multiplant, multiproduct firm. The ISIC has therefore adopted as the definition of an establishment ""an enterprise or part of an enterprise which independently engages in one, or predominantly one, kind of economic activity at or from one location . . . for which data are available . . ."" (United Nations 1990). By design, this definition matches the reporting unit required for the production accounts of the United Nations System of National Accounts.

The ISIC system is described in the United Nations' International Standard Industrial Classification of All Economic Activities, Third Revision (1990). The discussion of the ISIC draws on Ryten (1998).","The data on the distribution of manufacturing value added by industry are provided by the United Nations Industrial Development Organization (UNIDO). UNIDO obtains the data from a variety of national and international sources, including the United Nations Statistics Division, the World Bank, the Organisation for Economic Co-operation and Development, and the International Monetary Fund. To improve comparability over time and across countries, UNIDO supplements these data with information from industrial censuses, statistics from national and international organizations, unpublished data that it collects in the field, and estimates by the UNIDO Secretariat. Nevertheless, coverage may be incomplete, particularly for the informal sector. When direct information on inputs and outputs is not available, estimates may be used, which may result in errors in industry totals. Moreover, countries use different reference periods (calendar or fiscal year) and valuation methods (basic or producer prices) to estimate value added.","CC BY-4.0","","Value added in manufacturing is the sum of gross output less the value of intermediate inputs used in production for industries classified in ISIC major division D. Textiles and clothing correspond to ISIC divisions 17-19.","United Nations Industrial Development Organization, International Yearbook of Industrial Statistics.",5,"No missing metadata",437
